requestedUrl,finalUrl,category,name,title,type,score
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Performance","uses-passive-event-listeners","Uses passive listeners to improve scrolling performance","binary","1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Performance","no-document-write","Avoid `document.write()`","binary","0"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Performance","long-tasks","Avoid long main-thread tasks","informative","-1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Performance","non-composited-animations","Avoid non-composited animations","notApplicable","-1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Performance","unsized-images","Image elements do not have explicit `width` and `height`","binary","0"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Performance","viewport","Has a `<meta name=""viewport"">` tag with `width` or `initial-scale`","binary","1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Performance","network-requests","Network Requests","informative","-1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Performance","network-rtt","Network Round Trip Times","informative","-1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Performance","network-server-latency","Server Backend Latencies","informative","-1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Performance","main-thread-tasks","Tasks","informative","-1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Performance","diagnostics","Diagnostics","informative","-1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Performance","metrics","Metrics","informative","-1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Performance","screenshot-thumbnails","Screenshot Thumbnails","informative","-1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Performance","final-screenshot","Final Screenshot","informative","-1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Performance","script-treemap-data","Script Treemap Data","informative","-1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Accessibility","accessibility-score","Overall Accessibility Category Score","numeric","0.71"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Accessibility","accesskeys","`[accesskey]` values are unique","notApplicable","-1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Accessibility","aria-allowed-attr","`[aria-*]` attributes match their roles","notApplicable","-1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Accessibility","aria-command-name","`button`, `link`, and `menuitem` elements have accessible names","notApplicable","-1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Accessibility","aria-hidden-body","`[aria-hidden=""true""]` is not present on the document `<body>`","binary","1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Accessibility","aria-hidden-focus","`[aria-hidden=""true""]` elements do not contain focusable descendents","notApplicable","-1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Accessibility","aria-input-field-name","ARIA input fields have accessible names","notApplicable","-1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Accessibility","aria-meter-name","ARIA `meter` elements have accessible names","notApplicable","-1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Accessibility","aria-progressbar-name","ARIA `progressbar` elements have accessible names","notApplicable","-1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Accessibility","aria-required-attr","`[role]`s have all required `[aria-*]` attributes","notApplicable","-1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Accessibility","aria-required-children","Elements with an ARIA `[role]` that require children to contain a specific `[role]` have all required children.","notApplicable","-1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Accessibility","aria-required-parent","`[role]`s are contained by their required parent element","notApplicable","-1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Accessibility","aria-roles","`[role]` values are valid","notApplicable","-1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Accessibility","aria-toggle-field-name","ARIA toggle fields have accessible names","notApplicable","-1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Accessibility","aria-tooltip-name","ARIA `tooltip` elements have accessible names","notApplicable","-1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Accessibility","aria-treeitem-name","ARIA `treeitem` elements have accessible names","notApplicable","-1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Accessibility","aria-valid-attr-value","`[aria-*]` attributes have valid values","notApplicable","-1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Accessibility","aria-valid-attr","`[aria-*]` attributes are valid and not misspelled","notApplicable","-1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Accessibility","button-name","Buttons have an accessible name","binary","1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Accessibility","bypass","The page contains a heading, skip link, or landmark region","binary","1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Accessibility","color-contrast","Background and foreground colors do not have a sufficient contrast ratio.","binary","0"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Accessibility","definition-list","`<dl>`'s contain only properly-ordered `<dt>` and `<dd>` groups, `<script>`, `<template>` or `<div>` elements.","notApplicable","-1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Accessibility","dlitem","Definition list items are wrapped in `<dl>` elements","notApplicable","-1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Accessibility","document-title","Document has a `<title>` element","binary","1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Accessibility","duplicate-id-active","`[id]` attributes on active, focusable elements are unique","notApplicable","-1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Accessibility","duplicate-id-aria","ARIA IDs are unique","binary","1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Accessibility","form-field-multiple-labels","No form fields have multiple labels","notApplicable","-1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Accessibility","frame-title","`<frame>` or `<iframe>` elements have a title","binary","1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Accessibility","heading-order","Heading elements appear in a sequentially-descending order","binary","1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Accessibility","html-has-lang","`<html>` element has a `[lang]` attribute","binary","1"
"https://mautech.edu.ng/new/","https://mautech.edu.ng/new/index.php/en/","Accessibility","html-lang-valid","`<html>` element has a valid value for its `[lang]` attribute","binary","1"
