requestedUrl,finalUrl,category,name,title,type,score
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","aria-required-parent","`[role]`s are contained by their required parent element","notApplicable","-1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","aria-roles","`[role]` values are valid","notApplicable","-1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","aria-toggle-field-name","ARIA toggle fields have accessible names","notApplicable","-1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","aria-tooltip-name","ARIA `tooltip` elements have accessible names","notApplicable","-1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","aria-treeitem-name","ARIA `treeitem` elements have accessible names","notApplicable","-1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","aria-valid-attr-value","`[aria-*]` attributes have valid values","notApplicable","-1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","aria-valid-attr","`[aria-*]` attributes are valid and not misspelled","notApplicable","-1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","button-name","Buttons have an accessible name","binary","1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","bypass","The page contains a heading, skip link, or landmark region","binary","1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","color-contrast","Background and foreground colors do not have a sufficient contrast ratio.","binary","0"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","definition-list","`<dl>`'s contain only properly-ordered `<dt>` and `<dd>` groups, `<script>`, `<template>` or `<div>` elements.","notApplicable","-1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","dlitem","Definition list items are wrapped in `<dl>` elements","notApplicable","-1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","document-title","Document has a `<title>` element","binary","1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","duplicate-id-active","`[id]` attributes on active, focusable elements are unique","notApplicable","-1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","duplicate-id-aria","ARIA IDs are unique","notApplicable","-1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","form-field-multiple-labels","No form fields have multiple labels","notApplicable","-1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","frame-title","`<frame>` or `<iframe>` elements have a title","notApplicable","-1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","heading-order","Heading elements are not in a sequentially-descending order","binary","0"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","html-has-lang","`<html>` element has a `[lang]` attribute","binary","1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","html-lang-valid","`<html>` element has a valid value for its `[lang]` attribute","binary","1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","image-alt","Image elements do not have `[alt]` attributes","binary","0"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","input-image-alt","`<input type=""image"">` elements have `[alt]` text","notApplicable","-1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","label","Form elements have associated labels","notApplicable","-1"
"https://atbu.edu.ng/","https://atbu.edu.ng/web/front","Accessibility","link-name","Links do not have a discernible name","binary","0"
